nutrient,sex,age,year,Reg_Prov,x,y
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.22960678808836,0.123797172733131
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.26963966779681,0.12335947353277
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.30967254750526,0.122903230997641
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.34970542721371,0.122435666551766
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.38973830692215,0.121956880405098
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.4297711866306,0.121461240837835
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.46980406633905,0.120953204417804
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.5098369460475,0.120434733257095
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.54986982575595,0.119903414887176
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.5899027054644,0.119357633805865
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.62993558517285,0.118802184630504
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.66996846488129,0.118237162539743
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.71000134458974,0.117656613282278
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.75003422429819,0.117066815897566
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.79006710400664,0.116468183237834
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.83009998371509,0.11585757483229
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.87013286342354,0.115235971819693
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.91016574313199,0.114606243938071
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.95019862284043,0.113967701403278
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.99023150254888,0.113316744060775
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.03026438225733,0.112658345008682
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.07029726196578,0.111992588188211
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.11033014167423,0.111315971146917
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.15036302138268,0.110631237599726
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.19039590109113,0.109939800240172
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.23042878079958,0.109240254253379
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.27046166050802,0.108531444851385
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.31049454021647,0.107816564689462
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.35052741992492,0.107095692405519
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.39056029963337,0.106365295879917
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.43059317934182,0.105629151259154
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.47062605905027,0.104887629527007
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.51065893875872,0.104138968897348
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.55069181846716,0.103383695840443
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.59072469817561,0.102623651327737
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.63075757788406,0.101858538953955
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.67079045759251,0.101086248687227
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.71082333730096,0.100309788532062
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.75085621700941,0.099529234192522
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.79088909671786,0.098742820395669
